vessel_record_id,ssvid,n_shipname,n_callsign,imo,flag,owner,owner_flag,source_code
AUS-850732,503097120,OMEGA,455665,,AUS,,AUS,AUS
AUS-850750,503087130,BENINDA,,,AUS,,AUS,AUS
AUS-850797,503628300,PUTTYSPRIDE,VK4608,,AUS,,AUS,AUS
AUS-850843,503034140,JALAURA,,,AUS,,AUS,AUS
AUS-850856|IMO-8222496,503005680,EYLANDTPEARL,VL6353,8222496,AUS,,AUS,AUS
AUS-850856|IMO-8222496,503005680,EYLANDTPEARL,VL6353,8222496,AUS,RAPTIS INVESTMENTS,AUS,IMO
AUS-850919,503105660,VAGABOND,,,AUS,,AUS,AUS
AUS-850972,503085470,SPARTAN,,,AUS,,AUS,AUS
AUS-850994,503099860,VIKING2,,,AUS,,AUS,AUS
AUS-851072|CCSBT-FV06498|IMO-8774918,503049390,MELANIEB,VM7817,8774918,AUS,,AUS,AUS
AUS-851072|CCSBT-FV06498|IMO-8774918,503049390,MELANIEB,VM7817,8774918,AUS,AUSTRALIAN FISHING ENTERPRISES,AUS,CCSBT
AUS-851072|CCSBT-FV06498|IMO-8774918,503049390,MELANIEB,VM7817,8774918,AUS,MELANIE B NOMINEES,AUS,IMO
AUS-851105,503113200,PROTEUS,,,AUS,,AUS,AUS
AUS-851105,503133040,PROTEUS,,,AUS,,AUS,AUS
AUS-851217,503021920,TOOPIN,,,AUS,,AUS,AUS
AUS-851234,503040510,MISSMELISSA,,,AUS,,AUS,AUS
AUS-851286,503766500,FIORA,,,AUS,,AUS,AUS
AUS-851290,503037210,LARISSAE,,,AUS,,AUS,AUS
AUS-851458|IMO-8500355,503005730,KFVSANDPIPER,VHW5520,8500355,AUS,,AUS,AUS
AUS-851458|IMO-8500355,503005730,KFVSANDPIPER,VHW5520,8500355,AUS,RAPTIS SONS,AUS,IMO
AUS-851517,503020390,EVENINGSTAR,DS2000,,AUS,,AUS,AUS
AUS-851528|IMO-8415483,503422000,NGERIN,VHS6109,8415483,AUS,,AUS,AUS
AUS-851553,503017110,KIAMA,12574QC,,AUS,,AUS,AUS
AUS-851650,503736800,COOVARA,VKV6678,,AUS,,AUS,AUS
AUS-851728,503040350,ACEOFSPADES,,,AUS,,AUS,AUS
AUS-851768|IMO-8517138,503741900,EMSERVE,VL8988,8517138,AUS,,AUS,AUS
AUS-851768|IMO-8517138,503741900,EMSERVE,VL8988,8517138,AUS,MADANG CONTRACTORS QLD,AUS,IMO
AUS-851784,503614600,ULTIMATEAMBITION,,,AUS,,AUS,AUS
AUS-851811,503089460,CHALLENGER3,,,AUS,,AUS,AUS
AUS-851824,503094160,JENNIFER,,,AUS,,AUS,AUS
AUS-851882,503085970,MARAUDER,,,AUS,,AUS,AUS
AUS-851882,503131120,MARAUDER,,,AUS,,AUS,AUS
AUS-852011,503640600,CRYSTALKING,,,AUS,,AUS,AUS
AUS-852041|IMO-8409202,503043180,NOBLEPEARL,,8409202,AUS,,AUS,AUS
AUS-852075,503045210,SEADARBAY,,,AUS,,AUS,AUS
AUS-852121,503416300,PERSISTENCE,,,AUS,,AUS,AUS
AUS-852205|IMO-8405567,503095340,ANGELINAC,,8405567,AUS,,AUS,AUS
AUS-852205|IMO-8405567,503095340,ANGELINAC,,8405567,AUS,TOREN FISHING TRADING PTY,AUS,IMO
AUS-852232,503108510,MARGARETPEARL,,,AUS,,AUS,AUS
AUS-852258,503100090,GABOBAY,,,AUS,,AUS,AUS
AUS-852299,503003270,JILLIAN,,,AUS,,AUS,AUS
AUS-852326,503390500,MELINAE,VMQ9664,,AUS,,AUS,AUS
AUS-852352|IMO-8615954,503081880,STRIKER,VM5303,8615954,AUS,,AUS,AUS
AUS-852352|IMO-8615954,503081880,STRIKER,VM5303,8615954,AUS,SEAFRESH FABRON,AUS,IMO
AUS-852388|IMO-8610942,503048130,ABELTASMAN,VNZ2096,8610942,AUS,,AUS,AUS
AUS-852388|IMO-8610942,503048130,ABELTASMAN,VNZ2096,8610942,AUS,TENNEREEF,AUS,IMO
AUS-852397,503006270,SHOMAC,,,AUS,,AUS,AUS
AUS-852441,503046250,SHANE,,,AUS,,AUS,AUS
AUS-852476,503031460,TAHNEEB,,,AUS,,AUS,AUS
AUS-852477,503053320,STURMVOGEL,VJN4166,,AUS,,AUS,AUS
AUS-852487,503028010,KALINDS,VKV468,,AUS,,AUS,AUS
AUS-852592,503002650,ALIEN,VKV5526,,AUS,,AUS,AUS
AUS-852638,503006760,SERENITY2,,,AUS,,AUS,AUS
AUS-852647,503115920,SPELLBOUND,,,AUS,,AUS,AUS
AUS-852656,503030680,MISSSHELLY,,,AUS,,AUS,AUS
AUS-852685,503002460,AVENGER1,,,AUS,,AUS,AUS
AUS-852687|IMO-8610992,503769200,KURIPEARL2,VJQ4772,8610992,AUS,,AUS,AUS
